,Close,High,Low,Open,Volume,MA_7,MA_21,Daily_Return,Close_Yesterday,Volatility_7d,RSI_14,Target
20,-1.237848074042591,-1.247281820610975,-1.231992536945289,-1.2395377726174701,-0.5743015190730656,-1.2346669599275835,-1.2502914783228956,0.2697701654357111,-1.2395292161769158,-1.134837113641064,0.53897688896118,0
21,-1.2399239039346042,-1.2461091467038943,-1.2289988996690524,-1.2368169633503414,-0.6432812183150858,-1.235243012047689,-1.2480312173577466,-0.282516420458379,-1.2367115784289127,-1.1288152388439325,0.5685285044315174,0
22,-1.2486833330190252,-1.2494190643370766,-1.2388377085672677,-1.2388462602272146,-0.4972109412452304,-1.2366919729885262,-1.2458620204447497,-1.0398070125933796,-1.2387874388209044,-1.06798250929768,0.4556594299442179,1
23,-1.2474407783293122,-1.2548622638564315,-1.2410059083734366,-1.2476288323742508,-0.560457128880793,-1.2389005697150974,-1.244182052808921,0.09544943629703008,-1.2475469966068147,-1.0669913556123747,0.19447319492815673,0
24,-1.249917874847592,-1.2566301351110025,-1.2400523125434808,-1.246525698784836,-0.7793260284566782,-1.2415263919091888,-1.2427209203429441,-0.33742850350643155,-1.2463044236603595,-1.0889073259443522,0.27555037561014323,2
25,-1.2426072147082166,-1.2521031033972712,-1.23910191829511,-1.248942858691367,-0.6627478116263682,-1.2420260857478465,-1.240911259328165,0.8077484191699172,-1.2487815565743916,-1.0985703978864283,0.35881297531847367,2
26,-1.2326144909331505,-1.240299492347065,-1.2302790568206916,-1.241507112853987,-0.3646775051846049,-1.2408744051999867,-1.2391701564801372,1.0910698393782108,-1.2414707890201562,-1.0510293751195363,0.7293437014629476,2
27,-1.2182867157426902,-1.2283217138996652,-1.22017962016215,-1.2314432208462744,-0.09969859459916454,-1.2380762517171193,-1.237346169811528,1.528462475477003,-1.2314779184229145,-0.9058027635662724,0.5186489667416887,1
28,-1.2196263601195978,-1.2268171360847244,-1.208461039089876,-1.2172374255980596,-0.27090897224565036,-1.2351727906154482,-1.2354582700060672,-0.19007229853720553,-1.2171499327157653,-0.8357470694515093,0.4839746706904791,2
29,-1.2134848294248026,-1.222203742402926,-1.2097130159838005,-1.2185609302400162,-0.19276184917616657,-1.2301378224954487,-1.2329702274182603,0.5972929831125282,-1.2184895967759453,-0.7941799451894169,0.7957339926586587,0
30,-1.218544062652807,-1.2231918682779597,-1.2097169466384199,-1.2124214700393765,-0.3285039951513263,-1.2260042933011057,-1.231162913515027,-0.571711900118464,-1.212347975844202,-0.8242392907619898,0.35301487285172184,1
31,-1.2171921027889239,-1.2257827273199762,-1.2070402342402837,-1.217592239205576,-0.49020911250003607,-1.2213230369352863,-1.2290940185393837,0.09228752562048609,-1.217407283407057,-0.9302738164772139,0.38214996019790864,0
32,-1.2187408610168315,-1.2248557796243131,-1.2101373681885548,-1.2162045999774453,-0.263853556485373,-1.2179090756100532,-1.2273357107450833,-0.2114068840535635,-1.2160553036789514,-1.061986008678116,0.6916692099371599,0
33,-1.2203641357355532,-1.222604840305827,-1.209137301877373,-1.2176456794976045,-0.2593219324261284,-1.2161567241865483,-1.2255812862315556,-0.22007246555772958,-1.217604084662622,-1.1732868478781584,0.6876491538185125,0
34,-1.2239577636565713,-1.2291810339090965,-1.2135460382142382,-1.2193008319728786,-0.30727889067668807,-1.216967938941089,-1.225042136299292,-0.42905997363618203,-1.2192273832319704,-1.1455638689915044,0.4054962030874128,2
35,-1.2101506997268163,-1.2175438201359132,-1.211894085513965,-1.22279446768021,-0.06176673912359722,-1.2156124935919455,-1.2238111631269264,1.426199815212859,-1.2228210639538342,-1.1057124097563,0.8908128704188305,2
36,-1.2064351328955167,-1.213665547388559,-1.199685567362683,-1.2089252153212338,0.04911769414399578,-1.2146040701177596,-1.222275500738814,0.3296818248019426,-1.2090137971581534,-1.0595609738525371,1.445718138099201,2
37,-1.204323447788258,-1.213347985955481,-1.193642090788918,-1.205471301277872,-0.09398687284817914,-1.2125698830024427,-1.220952187472706,0.16338103880041055,-1.2052981757343704,-1.0177997943039063,1.4598140768084398,2
38,-1.2021148912429414,-1.212026113456341,-1.1951707033510948,-1.2033300416888204,-0.06407112866336298,-1.210413164059284,-1.2195442991836996,0.17164729559850675,-1.203186459600316,-0.9834523772652031,1.6450395516165826,2
39,-1.1940835724555838,-1.2040793689330973,-1.18960445262648,-1.201068837640356,-0.03477665198067008,-1.2068860634966367,-1.2173913084461048,0.7493122529979284,-1.2009778706048801,-0.9307797145013245,1.6547379089840737,0
40,-1.2023865178822604,-1.2029368234366404,-1.1917412388945217,-1.1930339307225153,0.13009961142604687,-1.2043144560837657,-1.215561107037556,-0.8549934645244393,-1.1929464338140912,-0.9658482950835522,0.987945708646396,2
41,-1.1911602811674125,-1.2015440370739632,-1.1935339343892304,-1.2013243470879482,0.05000392051491369,-1.1996229419031381,-1.2133288720302464,1.068089031425087,-1.2012495012351845,-1.0408740230823839,0.9142631098948168,2
42,-1.1873987261252545,-1.1957712984659308,-1.1781788321186593,-1.1902617701362672,0.31704862832942854,-1.1963683870200228,-1.2108175401927217,0.31200280879932,-1.1900230995742684,-1.022894454944767,1.0771796770281115,0
43,-1.1909641375507969,-1.1937580695431915,-1.1809777117982718,-1.1863803025779782,0.5894157191685789,-1.1941553392938087,-1.208057872177093,-0.3884350194446551,-1.186261489263927,-1.0395410616309264,0.7298220498543162,2
44,-1.1878437361141205,-1.1980235276857891,-1.1806734664512015,-1.189969220392917,0.31216316629516644,-1.1917979997926007,-1.2052084206230103,0.25018766258895897,-1.1898269530757326,-1.0545503495026785,1.0972153779096594,0
45,-1.2013388908496894,-1.1974083982909034,-1.18882428108219,-1.186702908588257,0.3364334781694268,-1.191686996856619,-1.2028857640564519,-1.3338332213280113,-1.1867065057912838,-1.0595708232311958,0.37738203303547,1
46,-1.1999019073580028,-1.2064527260341993,-1.1937594715474305,-1.2002615587365058,0.31384553887920913,-1.1925192802707913,-1.2008439394981583,0.09299271742817572,-1.2002018588099255,-1.0459941119871026,0.48402089954430016,0
47,-1.2077013208488434,-1.2100741855607222,-1.2007301388277807,-1.1987488305634406,0.4347163257703289,-1.1932795359853332,-1.199652791941581,-0.8200287484871588,-1.198764854204772,-1.0085176701830207,0.2328807835409424,2
48,-1.1932751152979229,-1.2030572756552604,-1.196680962292105,-1.2065814812535167,0.49335336625696746,-1.1935820523237821,-1.1984569382362897,1.4113531832865687,-1.206564382291681,-1.0127334415188634,0.7131929579289383,0
49,-1.2095133498919957,-1.202121974312615,-1.197367780789185,-1.192132336250762,0.48049907632676386,-1.1967454375328512,-1.197973415369409,-1.6207919789391663,-1.1921379647778432,-0.9937458854109158,-0.16570513176295038,1
50,-1.210308680923032,-1.2193704740387348,-1.200721611843163,-1.208557930233664,0.38527928613190005,-1.199512576735642,-1.1978215574759974,-0.13061746561699633,-1.2083764379588098,-0.9868634152568084,-0.2977097332601728,2
